Order_ID,Date,Status,Fulfilment,Sales_Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier_Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by
402-1681476-5211501,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3440,JNE3440-KR-N-XS,kurta,XS,B09HMY3YLT,Shipped,1,USD,4.257,PHALODI,RAJASTHAN,342301,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
404-8881799-1566744,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3805,JNE3805-KR-XXXL,kurta,3XL,B09K3X5D97,Shipped,1,USD,5.0489999999999995,LUCKNOW,UTTAR PRADESH,227105,IN,No-Promo,False,Others
407-3716586-0268342,2022-05-02,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,SET348,SET348-KR-NP-XXL,Set,XXL,B09QJ4KBJ8,Shipped,1,USD,10.648,MUMBAI,MAHARASHTRA,400007,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-CXNSLNBROFDW4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
171-2015226-6599551,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3613,JNE3613-KR-XXL,kurta,XXL,B08XWBRM8L,Shipped,1,USD,4.388999999999999,NEW TOWN,WEST BENGAL,700135,IN,Duplicated A12RHGVGRWOT3S 1560498941486,False,Others
402-4579306-0212343,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3261,JNE3261-KR-L,kurta,L,B07R5X9KHS,Shipped,1,USD,3.828,GOPESHWAR,UTTARAKHAND,246401,IN,No-Promo,False,Others
402-4506051-9181109,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,Shipped,1,USD,4.388999999999999,CHITTOOR,ANDHRA PRADESH,517587,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
171-8363241-4401926,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3368,JNE3368-KR-M,kurta,M,B081XDBBSH,Shipped,1,USD,5.181,BHADERWAH,JAMMU & KASHMIR,182222,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
171-6296399-3179559,2022-05-02,Cancelled,Amazon,Amazon.in,Expedited,J0339,J0339-DR-L,Western Dress,L,B098315N2Z,Cancelled,0,USD,6.6659999999999995,NAGPUR,MAHARASHTRA,440016,IN,No-Promo,False,Others
406-1006721-2062735,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-XL,Set,XL,B08B3ZCRC5,Shipped,1,USD,8.349,MUMBAI,MAHARASHTRA,400075,IN,No-Promo,False,Others
171-7608309-6577141,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-L,Set,L,B0822TBFW3,Shipped,1,USD,8.668,PATNA,BIHAR,800020,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
171-8699761-5081967,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3439,JNE3439-KR-XL,kurta,XL,B081X4KQ14,Shipped,1,USD,4.388999999999999,HYDERABAD,TELANGANA,500090,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
404-0951220-7446762,2022-05-02,Cancelled,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-S,Set,S,B09RP8VTX6,Cancelled,0,USD,6.6659999999999995,SUNDARNAGAR,HIMACHAL PRADESH,175018,IN,No-Promo,False,Others
407-4175031-7217954,2022-05-02,Cancelled,Amazon,Amazon.in,Expedited,JNE3364,JNE3364-KR-1051-A-M,kurta,M,B07WP5HXW3,Cancelled,0,USD,6.6659999999999995,BENGALURU,KARNATAKA,560010,IN,No-Promo,False,Others
407-6988684-6053150,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3160,JNE3160-KR-L,kurta,L,B07K34C782,Shipped,1,USD,7.534999999999999,Tirupati,ANDHRA PRADESH,517561,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
408-2027721-7835517,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3543,JNE3543-KR-XL,kurta,XL,B08HK4MG14,Shipped,1,USD,3.9269999999999996,KALYAN,MAHARASHTRA,421204,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
403-3844085-7182744,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3368,JNE3368-KR-XXL,kurta,XXL,B081WSWWL7,Shipped,1,USD,5.181,GURUGRAM,HARYANA,122101,IN,No-Promo,False,Others
171-5397972-9613948,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3822,JNE3822-KR-XL,kurta,XL,B09LTYN4SC,Shipped,1,USD,5.2139999999999995,KOLKATA,WEST BENGAL,700019,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship
403-4321648-1971551,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,Shipped,1,USD,6.885999999999999,VYARA,Gujarat,394650,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-B4XD5CKOZFUO6,Amazon PLCC Free-Financing Universal Merchant AAT-WA3O6HTUZGC2M,Amazon PLCC Free-Financing Universal Merchant AAT-CIALTIPNFIG2E,Amazon PLCC Free-Financing Universal Merchant AAT-R24EXPJ2OZUEK,Amazon PLCC Free-Financing Universal Merchant AAT-A6EVSKTLHUNI4,Amazon PLCC Free-Financing Universal Merchant AAT-56V5XGGAEKQWC,Amazon PLCC Free-Financing Universal Merchant AAT-V35YNZJGNRNUQ,Amazon PLCC Free-Financing Universal Merchant AAT-JKICCRTK4FJLC,Amazon PLCC Free-Financing Universal Merchant AAT-IW7FKCNMUEENG,Amazon PLCC Free-Financing Universal Merchant AAT-GGYFSBBAGFEHC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
407-0232025-9426761,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Shipped,1,USD,8.668,BENGALURU,KARNATAKA,560099,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
402-4835606-0671546,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET183,SET183-KR-DH-M,Set,M,B08B3Z2YY3,Shipped,1,USD,8.349,SURAT,Gujarat,395004,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
407-1140831-6854767,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XL,Set,XL,B0894YFQ5R,Shipped,1,USD,7.204999999999999,SURAT,Gujarat,395009,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
407-8186308-9296339,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-XL,Set,XL,B08XNJ8P3S,Shipped,1,USD,12.221,BENGALURU,KARNATAKA,560016,IN,No-Promo,False,Others
171-1310963-3748348,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3716,JNE3716-KR-XXL,kurta,XXL,B099NPKT7D,Shipped,1,USD,4.388999999999999,Bangalore,KARNATAKA,560078,IN,No-Promo,False,Others
403-4205464-9846754,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0096,J0096-KR-M,kurta,M,B089G1HM97,Shipped,1,USD,6.247999999999999,GUNTUR district,ANDHRA PRADESH,522318,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship
406-8856991-8763523,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0342,J0342-TP-M,Top,M,B099S91TCS,Shipped,1,USD,6.314,BENGALURU,KARNATAKA,560068,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
