order_id,date_id,product_id,location_id,fulfilment_id,qty,amount
171-9198151-1101146,31,1,1,1,1,4.465999999999999
404-0687676-7273146,31,2,2,2,1,3.619
407-1069790-7240320,31,3,3,3,1,6.314
404-1490984-4578765,31,4,4,3,1,9.064
408-5748499-6859555,31,5,5,3,1,7.183
406-7807733-3785945,31,6,6,1,1,4.388999999999999
407-5443024-5233168,31,7,7,4,0,6.666
402-4393761-0311520,31,8,8,3,1,3.993
407-5633625-6970741,31,9,3,3,1,7.534999999999999
171-4638481-6326716,31,10,9,3,1,4.004
405-5513694-8146768,31,11,10,1,1,4.388999999999999
408-7955685-3083534,31,12,11,3,1,7.226999999999999
408-1298370-1920302,31,13,11,1,1,8.481
403-4965581-9520319,31,14,12,1,1,5.984
406-9379318-6555504,31,15,13,3,1,3.619
405-9013803-8009918,31,16,14,3,1,4.388999999999999
402-4030358-5835511,31,17,15,1,1,5.037999999999999
405-5957858-1051546,31,18,16,3,1,9.746
405-0607769-0716360,31,19,17,3,1,5.686999999999999
404-8494550-5860325,31,20,18,3,1,7.326
171-1305077-2813934,31,21,19,3,1,4.136
402-3384087-4005164,31,22,20,3,1,5.489
405-8191138-5176316,31,23,21,1,1,6.401999999999999
403-9230474-9657916,31,24,22,1,1,3.289
408-3484251-6901959,31,25,23,3,1,5.049
405-7755803-4729935,31,26,24,3,1,4.388999999999999
171-9040274-9291563,31,27,25,3,1,8.700999999999999
403-7056319-0979561,31,28,26,3,1,5.489
404-9632124-1107550,31,29,27,1,1,13.563
402-1465437-0579556,31,30,28,1,1,5.686999999999999
404-7774085-3780319,31,31,29,3,1,4.136
402-2764952-1492318,31,32,30,1,1,5.489
406-0272200-7784379,31,33,31,3,1,7.326
403-4367956-2849158,31,34,32,3,1,5.356999999999999
403-4367956-2849158,31,35,32,3,1,4.048
403-4242957-8599555,31,36,33,3,1,4.388999999999999
408-7165704-5643524,31,37,34,3,1,7.688999999999999
402-8210765-3935569,31,38,35,3,1,9.735
406-7398201-3869914,31,39,36,1,1,4.664
408-3478480-0881162,31,40,37,3,1,12.386
402-7595162-9129931,31,41,38,3,1,8.668
171-6876154-6233146,31,42,39,3,1,8.349
408-3917043-5314763,31,43,40,3,1,12.606
408-9281152-6213100,31,44,41,3,1,7.314999999999999
403-3496411-3082707,31,45,42,3,1,4.718999999999999
171-9208368-0157156,31,46,43,1,1,4.388999999999999
408-2137113-0982751,31,47,44,3,1,9.328
402-3628566-9688333,31,48,45,3,1,7.194
408-7138000-9728362,31,49,46,3,1,11.363
402-1752649-2274748,31,50,47,3,1,4.29
402-7944191-1869101,31,51,48,3,1,5.423
407-4063876-9566742,31,52,49,3,1,7.930999999999999
403-0752752-4656334,31,53,50,3,1,6.566999999999999
406-8879861-2081117,31,36,51,3,1,4.388999999999999
406-8089333-7941903,31,54,52,3,1,9.768
171-3072652-6805159,31,55,19,3,1,3.883
171-2592464-6846743,31,56,53,1,1,6.589
404-2262140-4696366,31,57,54,3,1,5.698
404-2262140-4696366,31,58,54,3,1,3.245
405-3594372-1614709,31,59,34,3,1,9.372
407-2974257-4781134,31,60,55,3,1,9.064
171-4137548-0481151,31,61,56,4,0,6.666
405-4461562-9113959,31,62,57,3,1,9.999
404-4535078-5241919,31,63,58,3,1,4.752
405-8387725-2971512,31,64,18,3,1,5.994999999999999
405-6480932-8759528,31,65,59,3,1,12.606
405-9966506-3155561,31,66,8,1,1,7.656
408-7029737-8028367,31,67,60,3,1,4.752
407-2189901-7515567,31,68,61,1,1,6.941
402-2105657-2899562,31,69,62,3,1,3.476
406-1326801-8886709,31,70,63,1,1,3.982
408-7760667-5809130,31,71,64,3,1,3.619
405-8457623-9269955,31,72,65,3,1,4.388999999999999
408-6820155-3521913,31,73,20,3,1,8.261
403-6190683-2687538,31,74,66,3,1,8.700999999999999
408-4069830-3819562,31,75,67,3,1,7.523999999999999
408-4069830-3819562,31,76,67,3,1,14.091
408-4069830-3819562,31,77,67,3,1,13.046
171-7367545-7081126,31,78,68,3,1,5.489
403-9950518-0349133,31,79,19,4,0,6.666
407-6599093-6553153,31,80,69,1,1,4.146999999999999
403-3763475-2237125,31,81,70,3,1,8.184
405-1492294-0323520,31,82,71,3,1,8.184
403-1162895-2484367,31,83,72,1,1,9.449
171-6833843-5473114,31,84,73,3,1,5.356999999999999
403-1477057-8253913,31,85,74,3,1,9.075
408-2114413-6089906,31,86,75,3,1,7.479999999999999
405-1879750-2639521,31,87,76,1,1,7.975
406-5727754-5302723,31,88,77,3,1,7.656
405-0901744-8270705,31,89,78,3,1,5.489
405-9112089-3379536,31,36,79,4,0,6.666
408-6357132-2310703,31,90,80,3,1,7.656
406-5334922-9670748,31,91,81,3,1,4.465999999999999
402-8519791-3706738,31,92,82,3,1,9.372
408-1830318-0357940,31,72,83,3,1,4.388999999999999
406-5103760-7326749,31,93,84,3,1,4.752
402-7841951-1872363,31,92,82,4,0,6.666
408-7698765-2294756,31,94,85,1,1,14.718
404-1856281-9996319,31,95,86,1,1,5.191999999999999
406-5406738-7113145,31,41,87,3,1,8.668
405-5257740-5301158,31,96,88,1,1,9.152
405-5257740-5301158,31,97,88,1,1,4.388999999999999
